[ T-SED ]
    title = microdosimetric_spectra_water_photon_PHITS
     mesh =  reg            # mesh type is region-wise
      reg = 1
  se-type =    3            # se-mesh is log given by emin, emax and ne
     emin =  1.0000000E-02  # minimum value of e-mesh points
     emax =   10000.00      # maximum value of e-mesh points
#    edel =  7.6752836E-02  # mesh width of e-mesh points
       ne =  180            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-02  1.07978E-02  1.16591E-02  1.25893E-02  1.35936E-02
#           1.46780E-02  1.58489E-02  1.71133E-02  1.84785E-02  1.99526E-02
#           2.15443E-02  2.32631E-02  2.51189E-02  2.71227E-02  2.92864E-02
#           3.16228E-02  3.41455E-02  3.68695E-02  3.98107E-02  4.29866E-02
#           4.64159E-02  5.01187E-02  5.41170E-02  5.84341E-02  6.30957E-02
#           6.81292E-02  7.35642E-02  7.94328E-02  8.57696E-02  9.26119E-02
#           1.00000E-01  1.07978E-01  1.16591E-01  1.25893E-01  1.35936E-01
#           1.46780E-01  1.58489E-01  1.71133E-01  1.84785E-01  1.99526E-01
#           2.15443E-01  2.32631E-01  2.51189E-01  2.71227E-01  2.92864E-01
#           3.16228E-01  3.41455E-01  3.68695E-01  3.98107E-01  4.29866E-01
#           4.64159E-01  5.01187E-01  5.41170E-01  5.84341E-01  6.30957E-01
#           6.81292E-01  7.35642E-01  7.94328E-01  8.57696E-01  9.26119E-01
#           1.00000E+00  1.07978E+00  1.16591E+00  1.25893E+00  1.35936E+00
#           1.46780E+00  1.58489E+00  1.71133E+00  1.84785E+00  1.99526E+00
#           2.15443E+00  2.32631E+00  2.51189E+00  2.71227E+00  2.92864E+00
#           3.16228E+00  3.41455E+00  3.68695E+00  3.98107E+00  4.29866E+00
#           4.64159E+00  5.01187E+00  5.41170E+00  5.84341E+00  6.30957E+00
#           6.81292E+00  7.35642E+00  7.94328E+00  8.57696E+00  9.26119E+00
#           1.00000E+01  1.07978E+01  1.16591E+01  1.25893E+01  1.35936E+01
#           1.46780E+01  1.58489E+01  1.71133E+01  1.84785E+01  1.99526E+01
#           2.15443E+01  2.32631E+01  2.51189E+01  2.71227E+01  2.92864E+01
#           3.16228E+01  3.41455E+01  3.68695E+01  3.98107E+01  4.29866E+01
#           4.64159E+01  5.01187E+01  5.41170E+01  5.84341E+01  6.30957E+01
#           6.81292E+01  7.35642E+01  7.94328E+01  8.57696E+01  9.26119E+01
#           1.00000E+02  1.07978E+02  1.16591E+02  1.25893E+02  1.35936E+02
#           1.46780E+02  1.58489E+02  1.71133E+02  1.84785E+02  1.99526E+02
#           2.15443E+02  2.32631E+02  2.51189E+02  2.71227E+02  2.92864E+02
#           3.16228E+02  3.41455E+02  3.68695E+02  3.98107E+02  4.29866E+02
#           4.64159E+02  5.01187E+02  5.41170E+02  5.84341E+02  6.30957E+02
#           6.81292E+02  7.35642E+02  7.94328E+02  8.57696E+02  9.26119E+02
#           1.00000E+03  1.07978E+03  1.16591E+03  1.25893E+03  1.35936E+03
#           1.46780E+03  1.58489E+03  1.71133E+03  1.84785E+03  1.99526E+03
#           2.15443E+03  2.32631E+03  2.51189E+03  2.71227E+03  2.92864E+03
#           3.16228E+03  3.41455E+03  3.68695E+03  3.98107E+03  4.29866E+03
#           4.64159E+03  5.01187E+03  5.41170E+03  5.84341E+03  6.30957E+03
#           6.81292E+03  7.35642E+03  7.94328E+03  8.57696E+03  9.26119E+03
#           1.00000E+04
  se-unit =    2            # se-unit is [keV/um]
     unit =    7            # unit is z*f(z) [dimensionless]
    model =    1            # (D=0) Model type 0:old, 1:new
    cdiam = -1.000000       # (D=1.0) diameter of target sphere [um]
   letmat =   -5            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
 material =  all            # (D=all) number of specific material
     axis =  sed            # axis of output
     file = yfy_PMMA.out    # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         183 (  0)           0 (  0)         183 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =      1

x: y [keV/um]  
y: y*f(y) [dimensionless]        
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l n  
#  sed-lwr      sed-upr        all       r.err 
   1.0000E-02   1.0798E-02   3.2606E-02  0.0011
   1.0798E-02   1.1659E-02   3.5463E-02  0.0011
   1.1659E-02   1.2589E-02   3.8592E-02  0.0011
   1.2589E-02   1.3594E-02   4.2022E-02  0.0011
   1.3594E-02   1.4678E-02   4.5788E-02  0.0011
   1.4678E-02   1.5849E-02   4.9925E-02  0.0011
   1.5849E-02   1.7113E-02   5.4477E-02  0.0011
   1.7113E-02   1.8478E-02   5.9492E-02  0.0011
   1.8478E-02   1.9953E-02   6.5024E-02  0.0011
   1.9953E-02   2.1544E-02   7.1137E-02  0.0011
   2.1544E-02   2.3263E-02   7.7901E-02  0.0011
   2.3263E-02   2.5119E-02   8.5397E-02  0.0011
   2.5119E-02   2.7123E-02   9.3719E-02  0.0011
   2.7123E-02   2.9286E-02   1.0297E-01  0.0011
   2.9286E-02   3.1623E-02   1.1328E-01  0.0011
   3.1623E-02   3.4145E-02   1.2479E-01  0.0011
   3.4145E-02   3.6869E-02   1.3766E-01  0.0011
   3.6869E-02   3.9811E-02   1.5207E-01  0.0011
   3.9811E-02   4.2987E-02   1.6825E-01  0.0011
   4.2987E-02   4.6416E-02   1.8642E-01  0.0011
   4.6416E-02   5.0119E-02   2.0685E-01  0.0011
   5.0119E-02   5.4117E-02   2.2984E-01  0.0011
   5.4117E-02   5.8434E-02   2.5564E-01  0.0011
   5.8434E-02   6.3096E-02   2.8430E-01  0.0011
   6.3096E-02   6.8129E-02   3.0698E-01  0.0011
   6.8129E-02   7.3564E-02   3.2748E-01  0.0011
   7.3564E-02   7.9433E-02   3.4836E-01  0.0011
   7.9433E-02   8.5770E-02   3.6874E-01  0.0011
   8.5770E-02   9.2612E-02   3.8372E-01  0.0011
   9.2612E-02   1.0000E-01   3.9647E-01  0.0011
   1.0000E-01   1.0798E-01   4.0571E-01  0.0011
   1.0798E-01   1.1659E-01   4.1234E-01  0.0012
   1.1659E-01   1.2589E-01   4.1617E-01  0.0012
   1.2589E-01   1.3594E-01   4.1665E-01  0.0012
   1.3594E-01   1.4678E-01   4.1293E-01  0.0013
   1.4678E-01   1.5849E-01   4.0556E-01  0.0014
   1.5849E-01   1.7113E-01   3.9455E-01  0.0015
   1.7113E-01   1.8478E-01   3.8000E-01  0.0016
   1.8478E-01   1.9953E-01   3.6214E-01  0.0018
   1.9953E-01   2.1544E-01   3.4122E-01  0.0020
   2.1544E-01   2.3263E-01   3.1730E-01  0.0024
   2.3263E-01   2.5119E-01   2.9134E-01  0.0028
   2.5119E-01   2.7123E-01   2.6408E-01  0.0034
   2.7123E-01   2.9286E-01   2.3583E-01  0.0040
   2.9286E-01   3.1623E-01   2.0774E-01  0.0046
   3.1623E-01   3.4145E-01   1.8077E-01  0.0054
   3.4145E-01   3.6869E-01   1.5575E-01  0.0063
   3.6869E-01   3.9811E-01   1.3333E-01  0.0074
   3.9811E-01   4.2987E-01   1.1403E-01  0.0085
   4.2987E-01   4.6416E-01   9.8148E-02  0.0097
   4.6416E-01   5.0119E-01   8.5721E-02  0.0108
   5.0119E-01   5.4117E-01   7.6316E-02  0.0116
   5.4117E-01   5.8434E-01   6.9260E-02  0.0122
   5.8434E-01   6.3096E-01   6.3656E-02  0.0125
   6.3096E-01   6.8129E-01   5.9429E-02  0.0124
   6.8129E-01   7.3564E-01   5.6232E-02  0.0121
   7.3564E-01   7.9433E-01   5.3776E-02  0.0115
   7.9433E-01   8.5770E-01   5.1798E-02  0.0109
   8.5770E-01   9.2612E-01   5.0035E-02  0.0102
   9.2612E-01   1.0000E+00   4.8413E-02  0.0096
   1.0000E+00   1.0798E+00   4.6904E-02  0.0091
   1.0798E+00   1.1659E+00   4.5490E-02  0.0087
   1.1659E+00   1.2589E+00   4.4113E-02  0.0082
   1.2589E+00   1.3594E+00   4.2907E-02  0.0078
   1.3594E+00   1.4678E+00   4.1947E-02  0.0073
   1.4678E+00   1.5849E+00   4.1291E-02  0.0069
   1.5849E+00   1.7113E+00   4.0964E-02  0.0064
   1.7113E+00   1.8478E+00   4.0962E-02  0.0060
   1.8478E+00   1.9953E+00   4.1254E-02  0.0056
   1.9953E+00   2.1544E+00   4.1787E-02  0.0052
   2.1544E+00   2.3263E+00   4.2495E-02  0.0048
   2.3263E+00   2.5119E+00   4.3311E-02  0.0045
   2.5119E+00   2.7123E+00   4.4167E-02  0.0042
   2.7123E+00   2.9286E+00   4.5009E-02  0.0040
   2.9286E+00   3.1623E+00   4.5791E-02  0.0038
   3.1623E+00   3.4145E+00   4.6474E-02  0.0037
   3.4145E+00   3.6869E+00   4.7023E-02  0.0036
   3.6869E+00   3.9811E+00   4.7411E-02  0.0036
   3.9811E+00   4.2987E+00   4.7604E-02  0.0035
   4.2987E+00   4.6416E+00   4.7573E-02  0.0035
   4.6416E+00   5.0119E+00   4.7287E-02  0.0035
   5.0119E+00   5.4117E+00   4.6723E-02  0.0035
   5.4117E+00   5.8434E+00   4.5867E-02  0.0035
   5.8434E+00   6.3096E+00   4.4716E-02  0.0035
   6.3096E+00   6.8129E+00   4.3279E-02  0.0036
   6.8129E+00   7.3564E+00   4.1579E-02  0.0036
   7.3564E+00   7.9433E+00   3.9652E-02  0.0037
   7.9433E+00   8.5770E+00   3.7544E-02  0.0038
   8.5770E+00   9.2612E+00   3.5309E-02  0.0040
   9.2612E+00   1.0000E+01   3.3009E-02  0.0041
   1.0000E+01   1.0798E+01   3.0704E-02  0.0043
   1.0798E+01   1.1659E+01   2.8452E-02  0.0045
   1.1659E+01   1.2589E+01   2.6297E-02  0.0047
   1.2589E+01   1.3594E+01   2.4266E-02  0.0049
   1.3594E+01   1.4678E+01   2.2362E-02  0.0052
   1.4678E+01   1.5849E+01   2.0572E-02  0.0055
   1.5849E+01   1.7113E+01   1.8883E-02  0.0058
   1.7113E+01   1.8478E+01   1.7290E-02  0.0062
   1.8478E+01   1.9953E+01   1.5788E-02  0.0066
   1.9953E+01   2.1544E+01   1.4352E-02  0.0071
   2.1544E+01   2.3263E+01   1.2940E-02  0.0076
   2.3263E+01   2.5119E+01   1.1536E-02  0.0081
   2.5119E+01   2.7123E+01   1.0173E-02  0.0088
   2.7123E+01   2.9286E+01   8.9056E-03  0.0095
   2.9286E+01   3.1623E+01   7.7721E-03  0.0104
   3.1623E+01   3.4145E+01   6.7807E-03  0.0113
   3.4145E+01   3.6869E+01   5.9193E-03  0.0123
   3.6869E+01   3.9811E+01   5.1744E-03  0.0134
   3.9811E+01   4.2987E+01   4.5375E-03  0.0145
   4.2987E+01   4.6416E+01   3.9951E-03  0.0157
   4.6416E+01   5.0119E+01   3.5345E-03  0.0170
   5.0119E+01   5.4117E+01   3.1409E-03  0.0182
   5.4117E+01   5.8434E+01   2.8034E-03  0.0194
   5.8434E+01   6.3096E+01   2.5178E-03  0.0208
   6.3096E+01   6.8129E+01   2.2675E-03  0.0221
   6.8129E+01   7.3564E+01   2.0447E-03  0.0235
   7.3564E+01   7.9433E+01   1.8516E-03  0.0249
   7.9433E+01   8.5770E+01   1.6740E-03  0.0263
   8.5770E+01   9.2612E+01   1.5199E-03  0.0279
   9.2612E+01   1.0000E+02   1.3644E-03  0.0293
   1.0000E+02   1.0798E+02   1.1762E-03  0.0303
   1.0798E+02   1.1659E+02   9.2163E-04  0.0310
   1.1659E+02   1.2589E+02   7.1662E-04  0.0352
   1.2589E+02   1.3594E+02   6.6716E-04  0.0371
   1.3594E+02   1.4678E+02   6.4006E-04  0.0384
   1.4678E+02   1.5849E+02   6.2024E-04  0.0397
